MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
vgg,cifar10,laplace,6,--,--,--
vgg,cifar10,laplace,7,--,--,--
vgg,cifar10,laplace,8,--,--,--
vgg,cifar10,laplace,9,--,--,--
vgg,cifar10,laplace,10,--,--,--
vgg,cifar10,laplace,11,--,--,--
vgg,cifar10,laplace,12,--,--,--
vgg,cifar10,laplace,13,--,--,--
vgg,cifar10,laplace,14,--,--,--
vgg,cifar10,poisson,1,--,--,--
vgg,cifar10,poisson,2,--,--,--
vgg,cifar10,poisson,3,--,--,--
vgg,cifar10,poisson,4,--,--,--
vgg,cifar10,poisson,5,--,--,--
vgg,cifar10,poisson,6,--,--,--
vgg,cifar10,poisson,7,--,--,--
vgg,cifar10,poisson,8,--,--,--
vgg,cifar10,poisson,9,--,--,--
vgg,cifar10,poisson,10,--,--,--
